category,total_samples,positive_samples,contracts,negative_samples,positive_ratio
Document Name,510,510,510,0,1.0
Parties,510,509,510,1,0.9980392156862745
Agreement Date,510,470,510,40,0.9215686274509803
Governing Law,510,437,510,73,0.8568627450980392
Expiration Date,510,413,510,97,0.8098039215686275
Effective Date,510,390,510,120,0.7647058823529411
Anti-Assignment,510,374,510,136,0.7333333333333333
Cap On Liability,510,275,510,235,0.5392156862745098
License Grant,510,255,510,255,0.5
Audit Rights,510,214,510,296,0.4196078431372549
Termination For Convenience,510,183,510,327,0.3588235294117647
Post-Termination Services,510,182,510,328,0.3568627450980392
Exclusivity,510,180,510,330,0.35294117647058826
Renewal Term,510,176,510,334,0.34509803921568627
Insurance,510,166,510,344,0.3254901960784314
Revenue/Profit Sharing,510,166,510,344,0.3254901960784314
Minimum Commitment,510,165,510,345,0.3235294117647059
Non-Transferable License,510,138,510,372,0.27058823529411763
Ip Ownership Assignment,510,124,510,386,0.24313725490196078
Change Of Control,510,121,510,389,0.2372549019607843
Non-Compete,510,119,510,391,0.23333333333333334
Uncapped Liability,510,111,510,399,0.21764705882352942
Notice Period To Terminate Renewal,510,111,510,399,0.21764705882352942
Covenant Not To Sue,510,100,510,410,0.19607843137254902
Rofr/Rofo/Rofn,510,85,510,425,0.16666666666666666
Volume Restriction,510,82,510,428,0.1607843137254902
Competitive Restriction Exception,510,76,510,434,0.14901960784313725
Warranty Duration,510,75,510,435,0.14705882352941177
Irrevocable Or Perpetual License,510,70,510,440,0.13725490196078433
Liquidated Damages,510,61,510,449,0.11960784313725491
Affiliate License-Licensee,510,59,510,451,0.11568627450980393
No-Solicit Of Employees,510,59,510,451,0.11568627450980393
Joint Ip Ownership,510,46,510,464,0.09019607843137255
Non-Disparagement,510,38,510,472,0.07450980392156863
No-Solicit Of Customers,510,34,510,476,0.06666666666666667
Third Party Beneficiary,510,32,510,478,0.06274509803921569
Most Favored Nation,510,28,510,482,0.054901960784313725
Affiliate License-Licensor,510,23,510,487,0.045098039215686274
Unlimited/All-You-Can-Eat-License,510,17,510,493,0.03333333333333333
Price Restrictions,510,15,510,495,0.029411764705882353
Source Code Escrow,510,13,510,497,0.025490196078431372
