contract,split,word_count,character_count
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,test,5998,54290
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",test,11313,70383
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,train,1880,11475
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,validation,2280,15176
NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,train,170,1081
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,train,3770,24632
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",train,2766,18403
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",train,1334,8257
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,train,26789,175580
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",train,22756,145168
"MetLife, Inc. - Remarketing Agreement",train,17518,111249
"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT",test,5761,37829
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,validation,1847,12555
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,train,1014,6772
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,validation,9608,62170
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,validation,735,4871
ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement,train,9599,61710
IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement,train,3784,23845
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT,validation,3596,23282
"SIBANNAC,INC_12_04_2017-EX-2.1-Strategic Alliance Agreement",train,1236,8380
INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement,train,7774,52967
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,test,26842,161626
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT",validation,8844,61392
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement,train,997,6341
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT,test,3326,20983
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",validation,3507,21450
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,validation,19581,127205
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement,train,7522,49191
"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT",train,4904,30968
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,validation,3199,20805
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1,train,24389,152649
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT,train,8396,62324
TUNIUCORP_03_06_2014-EX-10-COOPERATION AGREEMENT,train,2760,17917
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT,train,3450,25288
SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement,train,11876,73890
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement,train,3519,22288
LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT,train,12890,117478
BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT,train,4739,32680
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,train,12422,81926
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,train,24801,159488
MSCIINC_02_28_2008-EX-10.10-,test,1851,11770
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT,validation,18608,148163
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement,train,7249,47639
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement,train,5471,35504
CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement,train,4441,27741
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement,train,4045,28804
GALACTICOMMTECHNOLOGIESINC_11_07_1997-EX-10.46-WEB HOSTING AGREEMENT,train,223,1660
"Zounds Hearing, Inc. - MANUFACTURING DESIGN MARKETING AGREEMENT",train,6897,47001
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT,validation,5793,36602
SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement,train,3607,22721
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement,train,9583,63217
Principal Life Insurance Company - Broker Dealer Marketing and Servicing Agreement,test,4366,29599
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement,train,7337,46255
VerizonAbsLlc_20200123_8-K_EX-10.4_11952335_EX-10.4_Service Agreement,train,45143,289615
VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT,train,15862,102006
WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT,test,10958,65547
"WASTE2ENERGYHOLDINGS,INC_06_03_2010-EX-10.2-STRATEGIC ALLIANCE AGREEMENT",test,6187,40442
WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT,train,10830,84618
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_SECONDAMENDMENT,train,820,5466
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2,train,2549,16870
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement1,train,2820,16590
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT,train,2909,18445
DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT,train,1088,8599
SEPARATEACCOUNTIIOFAGL_05_02_2011-EX-99.(J)(4)-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,validation,2845,20121
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement,train,529,3456
